X,Y,OBJECTID,REGISTRY_ID,PRIMARY_NAME,LOCATION_ADDRESS,CITY_NAME,COUNTY_NAME,FIPS_CODE,STATE_CODE,POSTAL_CODE,LATITUDE83,LONGITUDE83,HUC8_CODE,ACCURACY_VALUE,COLLECT_MTH_DESC,REF_POINT_DESC,CREATE_DATE,UPDATE_DATE,LAST_REPORTED_DATE,FAC_URL,PGM_SYS_ID,PGM_SYS_ACRNM,INTEREST_TYPE,PROGRAM_URL,PGM_REPORT_URL,PUBLIC_IND,ACTIVE_STATUS,FEDERAL_AGENCY_NAME,HUC_12,FEDERAL_LAND_IND,FED_FACILITY_CODE,EPA_REGION_CODE,KEY_FIELD
-75.340948994,40.59542523,22,110004833921,HELLERTOWN MANUFACTURING CO.,1770 MAIN ST,HELLERTOWN,NORTHAMPTON,42095,PA,18055,40.595417,-75.340947,02040106,,,,2002/01/28 23:29:19+00,2015/12/11 00:04:32+00,,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110004833921,PAD002390748,SEMS,SUPERFUND NPL,http://www.epa.gov/superfund/action/law/cercla.htm,no data yet,Y,CURRENTLY ON THE FINAL NPL,,,,N,03,SEMSPAD002390748
-122.006613034,37.386804603,23,110000482610,SPANSION LLC,915 DEGUIGNE DRIVE,SUNNYVALE,SANTA CLARA,06085,CA,94085-3867,37.3868,-122.0066,18050003,,,,2002/01/28 19:03:12+00,2015/12/11 00:05:34+00,,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000482610,CAT080034234,SEMS,SUPERFUND NPL,http://www.epa.gov/superfund/action/law/cercla.htm,no data yet,Y,CURRENTLY ON THE FINAL NPL,,,,N,09,SEMSCAT080034234
-93.255563362,45.0805644320001,24,110009293399,FRIDLEY COMMONS PARK WELL FIELD,"61ST AVENUE, NE & 7TH STREET, NE",FRIDLEY,ANOKA,27003,MN,55432,45.080556,-93.255556,07010206,,,,2002/02/28 18:32:49+00,2020/10/29 21:16:25+00,,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110009293399,MND985701309,SEMS,SUPERFUND NPL,http://www.epa.gov/superfund/action/law/cercla.htm,no data yet,Y,DELETED FROM THE FINAL NPL,,,,N,05,SEMSMND985701309
-95.929730101,41.2677853390001,25,110009340953,OMAHA LEAD,INTERSECTION I480 & ABBOTT DRIVE,OMAHA,DOUGLAS,31055,NE,681021895,41.267778,-95.929722,10230006,,,,2003/04/01 17:00:00+00,2015/12/11 00:05:47+00,,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110009340953,NESFN0703481,SEMS,SUPERFUND NPL,http://www.epa.gov/superfund/action/law/cercla.htm,no data yet,Y,CURRENTLY ON THE FINAL NPL,,,,N,07,SEMSNESFN0703481
-95.813563728,41.1438461590001,26,110009331348,AIDEX CORP.,I-29 & HIGHWAY 370,MINEOLA,MILLS,19129,IA,51554,41.143839,-95.813556,10230006,,,,2002/03/01 02:42:02+00,2015/12/11 00:05:07+00,,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110009331348,IAD042581256,SEMS,SUPERFUND NPL,http://www.epa.gov/superfund/action/law/cercla.htm,no data yet,Y,DELETED FROM THE FINAL NPL,,,,N,07,SEMSIAD042581256
-75.537220642,39.71861933,27,110006817007,BRANDYWINE CHEMICAL CO.,600 TERMINAL AVENUE,NEW CASTLE,NEW CASTLE,10003,DE,19720-1460,39.718611,-75.537219,02040205,,,,2002/01/28 19:12:11+00,2015/12/11 00:04:35+00,,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110006817007,DED980830954,SEMS,SUPERFUND NPL,http://www.epa.gov/superfund/action/law/cercla.htm,no data yet,Y,CURRENTLY ON THE FINAL NPL,,,,N,03,SEMSDED980830954
-71.595000853,41.972708562,28,110009344726,WESTERN SAND & GRAVEL,DOUGLAS PIKE,BURRILLVILLE,PROVIDENCE,44007,RI,02830,41.9727,-71.595,01090003,,,,2002/03/01 05:10:02+00,2015/12/11 00:04:35+00,,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110009344726,RID009764929,SEMS,SUPERFUND NPL,http://www.epa.gov/superfund/action/law/cercla.htm,no data yet,Y,CURRENTLY ON THE FINAL NPL,,,,N,01,SEMSRID009764929
-85.678344564,43.0033392920001,29,110003587985,"H. BROWN CO., INC.",2200 TURNER AVE NW,GRAND RAPIDS,KENT,26081,MI,49544,43.003331,-85.678339,04050006,,,,2002/01/28 19:56:41+00,2015/12/11 00:05:32+00,,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110003587985,MID017075136,SEMS,SUPERFUND NPL,http://www.epa.gov/superfund/action/law/cercla.htm,no data yet,Y,CURRENTLY ON THE FINAL NPL,,,,N,05,SEMSMID017075136
-117.383312485,34.595005025,30,110031338700,SOUTHERN LOGISTICS AIRPORT,18374 PHANTOM,VICTORVILLE,SAN BERNARDINO,06071,CA,92394-7976,34.595,-117.3833,18090208,,,,2002/03/01 02:21:31+00,2015/12/11 00:05:49+00,,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110031338700,CA2570024453,SEMS,SUPERFUND NPL,http://www.epa.gov/superfund/action/law/cercla.htm,no data yet,Y,CURRENTLY ON THE FINAL NPL,,,,Y,09,SEMSCA2570024453
-80.904171832,34.8516760680001,31,110001224773,"LEONARD CHEMICAL CO., INC.",COURETON FERRY ROAD,CATAWBA,YORK,45091,SC,29704,34.851669,-80.904169,03050103,,,,2002/02/28 23:59:23+00,2015/12/11 00:04:43+00,,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110001224773,SCD991279324,SEMS,SUPERFUND NPL,http://www.epa.gov/superfund/action/law/cercla.htm,no data yet,Y,CURRENTLY ON THE FINAL NPL,,,,N,04,SEMSSCD991279324
-85.544304993,42.229208145,32,110003579850,"ROTO-FINISH CO., INC.",3700 MILHAM ROAD,KALAMAZOO,KALAMAZOO,26077,MI,49002,42.2292,-85.5443,04050003,,,,2002/01/28 19:56:16+00,2015/12/11 00:05:10+00,,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110003579850,MID005340088,SEMS,SUPERFUND NPL,http://www.epa.gov/superfund/action/law/cercla.htm,no data yet,Y,CURRENTLY ON THE FINAL NPL,,,,N,05,SEMSMID005340088
